id,name,date,is_hazardous,diameter_min_km,diameter_max_km,velocity_km_s,miss_distance_km,diameter_km,log_diameter,log_velocity,log_miss_distance,astrorisk_score,uncertainty_ratio,event_id
3182181,(2004 JP12),2025-05-11,False,0.0506471459,0.1132504611,26.6551760153,7943557.078438852,0.07573514789431637,-1.1207025215916442,1.4257815547005834,6.900015020513427,-7.410559475887193,1.2360679750839267,3182181_2025-05-11
3653907,(2013 WY43),2025-05-11,False,0.0121494041,0.0271668934,20.4937551914,54270478.515266344,0.018167596595538522,-1.7407025196319061,1.3116215440293972,7.734563650870493,-10.333428121707417,1.2360679629047158,3653907_2025-05-11
3683472,(2014 QZ295),2025-05-11,False,0.0291443905,0.0651688382,12.1709192917,14098102.460971503,0.043581028773218705,-1.360702521022142,1.085323382525696,7.149160662571254,-9.060621460586288,1.2360679691137544,3683472_2025-05-11
3735392,(2015 WA1),2025-05-11,False,0.1187284988,0.2654849942,9.2601447008,20013126.54424928,0.1775405159823884,-0.7507025220280579,0.966617773108651,7.301314941452065,-7.620186961318937,1.2360679765993403,3735392_2025-05-11
54221204,(2021 VW22),2025-05-11,False,0.0114962176,0.0257063241,9.6411469753,71568609.64048368,0.017190854997635348,-1.7647025203491153,0.9841287035559195,7.854722580280437,-11.180572734215943,1.236067972164445,54221204_2025-05-11
54280290,(2022 KF3),2025-05-11,False,0.0102460147,0.0229107855,30.207399041,46521884.3971516,0.015321365638269548,-1.8147025202022633,1.4801133326639806,7.667657297774164,-10.151538193052993,1.2360679783519344,54280290_2025-05-11
54440314,(2024 JG3),2025-05-11,False,0.0777239702,0.1737960809,28.7456838368,57029895.27149971,0.1162244441275087,-0.9347025218882892,1.4585726446243532,7.756102574056585,-7.643064850472745,1.2360679765737599,54440314_2025-05-11
54529551,(2025 JY1),2025-05-11,False,0.0260948603,0.0583498816,9.2404331269,12613764.58458747,0.03902091758113257,-1.40870252122634,0.9656923283908293,7.10084472133237,-9.395567628229731,1.236067976818914,54529551_2025-05-11
54532560,(2025 KB),2025-05-11,False,0.031228777,0.0698296682,10.0321903617,3285092.242136098,0.04669791361722482,-1.3307025216038302,1.0013957643453868,6.516547568625868,-8.505863604746585,1.2360679727032924,54532560_2025-05-11
2842527,842527 (2015 WA1),2025-05-11,False,0.1187284988,0.2654849942,9.2601446547,20013126.54424928,0.1775405159823884,-0.7507025220280579,0.9666177709465924,7.301314941452065,-7.620186965643054,1.2360679765993403,2842527_2025-05-11
3550117,(2010 VB),2025-05-08,False,0.0201629919,0.0450858206,9.7775700009,46531564.1871691,0.030150705390797297,-1.5207025214284506,0.9902309338994638,7.667747651854957,-10.249393348341382,1.2360679754274564,3550117_2025-05-08
54016819,(2020 HT8),2025-05-08,False,0.0050647146,0.0113250461,25.184028203,30897777.07369772,0.00757351479356468,-2.120702516193693,1.4011251970371283,7.489927235432805,-11.049784389939628,1.2360679467295563,54016819_2025-05-08
54017094,(2020 KA1),2025-05-08,False,0.0121494041,0.0271668934,12.3629859921,37479922.85014299,0.018167596595538522,-1.7407025196319061,1.092123377170022,7.573798688251182,-10.611659492806856,1.2360679629047158,54017094_2025-05-08
